0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.43620303,-1.2142351,2.147974,-0.27087218,-2.4605496,-1.4978623,0.0011416934,-0.8558275,0.43528214,2.0340867,0.6805208,0.09128377,0.35502148,1.8424228,1.4756055,-2.0519116
0.86034733,-0.35313138,0.7410037,-0.46537212,-2.5878983,-1.290659,3.374438,-0.2390648,-0.676071,1.9412335,-1.7176886,-0.048870236,-2.3092563,1.2640533,1.2577702,0.6866622
-0.14832821,-1.1250244,0.053472705,0.022077996,-3.0754077,-0.8505057,-0.612896,0.68309593,2.1561096,1.5257431,0.94165397,-2.7200346,2.2809546,2.2340038,-0.097323984,-0.011482123
-0.7112366,-2.0096228,0.6864558,0.5108075,0.47771093,-0.730209,-0.1122275,0.06850608,-0.502905,0.9278556,1.5023241,1.8467404,0.13885954,0.5863537,-1.0449172,1.2873323
-0.6610053,-1.5906341,2.746667,1.3746376,-2.100659,-1.7284708,1.6062205,1.6233498,-1.7750252,0.47252223,-0.5632792,-0.76733476,0.9510456,-0.66949993,0.7319182,1.1266794
-3.7928421,-0.8099801,1.8461715,4.4141474,-1.6368511,-0.19436911,-0.32175523,-2.03625,1.216697,2.874995,-0.3770999,1.4346353,1.7808349,0.815798,0.37560365,0.44356808
-1.0791568,-1.0273566,0.56554526,-0.40885842,-0.39769408,0.16346416,-0.28380814,-2.5369124,3.5277865,-1.3596593,1.661565,-1.9078972,0.09947008,-1.6884961,-0.8323035,0.5613929
1.3049587,0.36564562,3.247516,1.60297,-4.714609,-1.8786782,3.0602152,3.2453523,-2.0557826,0.9365022,-0.39813063,1.2719873,3.6646612,-2.4119468,-0.7592678,-0.59166837
2.1093566,-2.556474,0.8893618,4.683808,-1.5722353,-0.8173047,0.26027954,1.0046796,-0.036613755,2.1574047,2.1419828,-0.73375756,0.060105152,-1.4290472,1.9286864,-0.16041008
0.25449696,-0.88259906,0.812237,1.4217588,0.5299926,-1.8029336,-0.56037223,-1.6589906,-1.1633463,-0.73201704,2.0787082,-1.5564108,0.1293301,0.3348723,-1.123163,1.3534614
1.3665768,-4.2055535,2.2555547,4.276312,-2.762538,-1.8983461,4.627899,3.5383508,2.7196908,2.6865566,-2.4339507,2.3579845,-3.3315825,-3.49119,0.9711251,-2.7189283
-0.18977962,-6.6644425,4.9099703,4.033873,-1.6889085,0.6061713,-1.3210275,5.3651915,-4.9558635,1.6390716,0.6875871,1.2758942,1.3914973,-0.29290894,-3.994988,-0.814487
-2.141632,0.91971993,2.2188787,2.7818508,-1.4221611,1.1782045,-0.30211192,1.9772533,-0.09584006,-0.8673346,-0.12251761,2.8378952,1.544583,-1.0668793,2.3975825,-1.7910081
0.25629833,-4.6201296,-0.01173453,0.618713,-0.035438754,0.15886371,2.0778668,2.3918514,-0.24976397,0.28496027,0.9595114,0.997497,0.21580866,-0.6233283,-0.8420688,-0.07841845
-0.33192572,-1.1560123,-2.7175066,0.22532591,-0.5676074,-2.289465,-0.22634849,0.10139328,-0.9208676,2.0077825,0.3768789,-1.0314007,-0.69532096,1.7869948,-1.2626523,-1.0718291
-0.78524864,0.04571803,0.0680516,0.2792376,-0.29873928,-1.1468052,-0.69636124,1.3368026,-0.9300331,1.9276423,1.8452231,-0.11328634,0.780956,0.31337872,1.5055197,0.375308
0.12669882,-0.20219249,3.166837,3.1089122,-4.336528,-3.060729,1.6044974,0.55885446,-1.681397,4.3624177,1.3906716,-1.8634148,-1.3703712,0.39259663,-0.27796426,-2.6532314
-0.019016981,-0.6652293,0.4108743,0.5171444,-2.087975,-1.238853,-0.8029547,1.1578034,0.5829442,1.5446473,0.25404206,1.4985877,-1.3611325,0.09088692,-1.459914,-0.6482523
-0.8292542,-1.2349329,0.7413335,-2.0439696,-0.3551773,-1.140312,0.15413693,3.5893154,-1.3480436,1.2708657,0.48699352,-0.026615404,-1.29289,2.4668057,-1.8979906,1.4020829
