0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.55842894,-0.6867417,-0.4056936,0.8753412,-0.08357333,-0.014567467,0.61819714,0.95345545,0.48860574,0.50742364,0.45991838,-1.7085862,0.49799544,0.09414494,0.90568864,1.7047081,0.7208576,2.1818607,-1.0854948,0.2856347,-0.84823614,-0.042573676,-0.53428066,-0.59384495,-2.0842931,0.1951257,-0.25120947,-1.5988114,-1.0897264,0.16191694,-0.99404496,-1.0140557
0.84962595,-0.42959392,1.0097693,1.5163865,0.007553205,0.36195666,-0.05615079,0.39035457,0.42956436,0.38902915,0.6850977,-1.113917,0.3640821,0.07518584,0.63897747,0.5219389,0.46080068,0.38255304,-1.3707572,0.16290075,0.24123228,0.16025123,-1.1492165,-0.45266372,-0.1926506,-0.84348124,-0.28888422,-0.76083565,-1.1659645,0.3354644,-0.3042492,-0.6500482
0.38301277,-0.6529831,-0.5540399,2.8654976,0.08642241,0.06830494,0.13956246,0.2120948,0.1154067,0.9951825,-0.40203178,-0.9120304,-0.48018035,-0.42478657,-0.53381926,1.5504179,0.94013906,0.9922564,0.31338626,-0.26264235,0.58151525,0.594865,-0.54697543,-0.72582895,0.15175848,-1.4596435,-1.1115804,-0.65457344,0.21384355,0.34688824,-0.7405523,-0.53124857
0.39486438,-0.5338085,-1.2064816,0.49275005,-0.15512511,-0.48122796,0.3980505,0.5830458,-0.3370501,0.7062499,0.15736187,-0.44779164,-0.44367698,-0.12478408,-0.6616983,1.0228921,0.22082394,0.58393264,0.06331118,0.06936198,0.48049992,-0.8315833,0.19848233,-0.32920933,0.59574014,-0.8853624,-1.3109177,-0.33818024,0.46105763,0.22113593,-0.2648103,-0.52431464
0.53245324,0.13168058,-1.7357581,1.8397444,0.87661326,-0.3490846,0.5361717,1.7146627,-1.69003,1.2423226,1.1765875,-1.384308,-0.37738806,-0.94884133,0.26759377,1.7730073,1.2291678,-0.0748207,-1.0660598,-0.48662055,0.348129,-0.32613325,-0.052287146,-1.3405287,-0.7185599,-2.6220076,-2.3642287,-2.6768153,-0.5805715,1.4305563,-0.73304945,-0.89805484
-0.13359717,0.042846233,-1.007021,1.2110732,0.033686414,-0.106377564,0.60217553,1.3109428,-1.1033946,1.0409839,-0.103120476,-1.1518024,-0.030923985,-0.59866774,-0.30761856,0.5542581,0.44206417,0.3805414,-0.21341966,-0.68598455,0.9981037,-0.31083086,-0.35389838,-0.53406435,0.43765998,-1.5287703,-1.9317805,-1.2159569,0.27730778,0.6250978,-0.59519786,-0.41718638
0.6910745,-0.24077117,-0.95143455,2.29138,0.45042193,-0.31979465,0.019084144,0.49019313,-0.26115844,1.008709,0.20073673,-0.58888763,-0.33316895,-1.0136677,0.18814695,1.510368,0.7413524,0.19920108,-0.13593283,-0.09906198,0.14785677,0.24919392,0.33893666,-0.9030402,-0.4038279,-1.3181856,-1.3391178,-1.3196552,-0.31441826,1.1919708,-0.22971702,-0.43327445
0.53656274,-0.37074205,-0.7298926,1.8971543,0.39850324,-0.13887519,0.43088678,0.35294032,-0.24553347,0.863136,0.3544399,-1.004086,-0.48550025,-0.34657302,-0.010659825,1.411263,1.0279505,0.42795098,-0.3894068,-0.5628622,0.36823177,0.22313863,-0.5710512,-0.55217785,-0.39807612,-1.6112533,-1.2270864,-0.92108107,-0.22743872,0.39991632,-0.52527624,-0.30107653
0.7738415,-0.11063971,-1.3801751,0.10110286,0.26812923,-0.25760078,0.008039091,1.6643165,-1.0089607,0.93397605,0.3658926,-0.68895185,-0.2629345,-0.36093324,-0.34315974,0.6182052,-0.744434,0.006922595,-0.32483232,0.044613805,0.81995636,-1.187226,0.9339188,-0.06424023,0.7544948,-0.63180155,-1.3865186,-0.8021254,-0.27065358,0.87596804,0.33265424,-0.40413654
-0.059004635,-0.079053685,-0.91106874,1.848954,-0.13349654,0.16939,0.23401256,0.8294654,-0.51510596,1.0216638,0.3362807,-1.2837994,-0.22475892,-0.43806437,-0.0811141,1.1387638,0.9286083,0.86294925,-0.5486484,-0.7313628,0.8836241,-0.18690753,-0.97741514,-0.7093785,0.015956946,-1.6822773,-1.667192,-1.3134896,-0.12410009,0.4882185,-0.9591238,-0.4362691
